"type","name","age","year","timingstart","timingend","value","unit","family"
"agecomp","survey1",2,5,0,0,379493.008676047,"numbers","imultinom(size=200)"
"agecomp","survey1",3,5,0,0,532460.739890105,"numbers","imultinom(size=200)"
"agecomp","survey1",4,5,0,0,779278.217445068,"numbers","imultinom(size=200)"
"agecomp","survey1",5,5,0,0,402580.886822247,"numbers","imultinom(size=200)"
"agecomp","survey1",6,5,0,0,322635.032366578,"numbers","imultinom(size=200)"
"agecomp","survey1",7,5,0,0,259977.783313678,"numbers","imultinom(size=200)"
"agecomp","survey1",8,5,0,0,210251.523836651,"numbers","imultinom(size=200)"
"agecomp","survey1",9,5,0,0,170328.025785362,"numbers","imultinom(size=200)"
"agecomp","survey1",10,5,0,0,138081.450185104,"numbers","imultinom(size=200)"
"agecomp","survey1",11,5,0,0,111969.582087602,"numbers","imultinom(size=200)"
"agecomp","survey1",12,5,0,0,480495.442917126,"numbers","imultinom(size=200)"
"agecomp","survey1",1,6,0,0,441243.598086193,"numbers","imultinom(size=200)"
"agecomp","survey1",2,6,0,0,1121795.65592667,"numbers","imultinom(size=200)"
"agecomp","survey1",3,6,0,0,395128.146687786,"numbers","imultinom(size=200)"
"agecomp","survey1",4,6,0,0,438715.515070294,"numbers","imultinom(size=200)"
"agecomp","survey1",5,6,0,0,614841.561440346,"numbers","imultinom(size=200)"
"agecomp","survey1",6,6,0,0,314941.9333731,"numbers","imultinom(size=200)"
"agecomp","survey1",7,6,0,0,251867.170117255,"numbers","imultinom(size=200)"
"agecomp","survey1",8,6,0,0,202823.297773134,"numbers","imultinom(size=200)"
"agecomp","survey1",9,6,0,0,163993.356949372,"numbers","imultinom(size=200)"
"agecomp","survey1",10,6,0,0,132843.259310538,"numbers","imultinom(size=200)"
"agecomp","survey1",11,6,0,0,107690.278138724,"numbers","imultinom(size=200)"
"agecomp","survey1",12,6,0,0,462059.658498054,"numbers","imultinom(size=200)"
"agecomp","survey1",1,7,0,0,247377.590672866,"numbers","imultinom(size=200)"
"agecomp","survey1",2,7,0,0,959187.039252539,"numbers","imultinom(size=200)"
"agecomp","survey1",3,7,0,0,1145561.28800653,"numbers","imultinom(size=200)"
"agecomp","survey1",4,7,0,0,316452.322879816,"numbers","imultinom(size=200)"
"agecomp","survey1",5,7,0,0,334506.157453305,"numbers","imultinom(size=200)"
"agecomp","survey1",6,7,0,0,463533.249243755,"numbers","imultinom(size=200)"
"agecomp","survey1",7,7,0,0,236665.273489362,"numbers","imultinom(size=200)"
"agecomp","survey1",8,7,0,0,189063.100816121,"numbers","imultinom(size=200)"
"agecomp","survey1",9,7,0,0,152190.451123471,"numbers","imultinom(size=200)"
"agecomp","survey1",10,7,0,0,123037.018805294,"numbers","imultinom(size=200)"
"agecomp","survey1",11,7,0,0,99661.4288898218,"numbers","imultinom(size=200)"
"agecomp","survey1",12,7,0,0,427426.464885296,"numbers","imultinom(size=200)"
"agecomp","survey1",1,8,0,0,358570.962096486,"numbers","imultinom(size=200)"
"agecomp","survey1",2,8,0,0,537607.510601225,"numbers","imultinom(size=200)"
"agecomp","survey1",3,8,0,0,979005.07409745,"numbers","imultinom(size=200)"
"agecomp","survey1",4,8,0,0,916774.855748947,"numbers","imultinom(size=200)"
"agecomp","survey1",5,8,0,0,241066.404937728,"numbers","imultinom(size=200)"
"agecomp","survey1",6,8,0,0,251939.96710024,"numbers","imultinom(size=200)"
"agecomp","survey1",7,8,0,0,347974.236523785,"numbers","imultinom(size=200)"
"agecomp","survey1",8,8,0,0,177470.783564085,"numbers","imultinom(size=200)"
"agecomp","survey1",9,8,0,0,141720.140725153,"numbers","imultinom(size=200)"
"agecomp","survey1",10,8,0,0,114064.758570327,"numbers","imultinom(size=200)"
"agecomp","survey1",11,8,0,0,92209.9247448432,"numbers","imultinom(size=200)"
"agecomp","survey1",12,8,0,0,395015.668998033,"numbers","imultinom(size=200)"
"agecomp","survey1",1,9,0,0,243824.927636449,"numbers","imultinom(size=200)"
"agecomp","survey1",2,9,0,0,758953.097635486,"numbers","imultinom(size=200)"
"agecomp","survey1",3,9,0,0,522434.24617577,"numbers","imultinom(size=200)"
"agecomp","survey1",4,9,0,0,729228.773752725,"numbers","imultinom(size=200)"
"agecomp","survey1",5,9,0,0,640533.922922648,"numbers","imultinom(size=200)"
"agecomp","survey1",6,9,0,0,165356.312310708,"numbers","imultinom(size=200)"
"agecomp","survey1",7,9,0,0,171751.037970119,"numbers","imultinom(size=200)"
"agecomp","survey1",8,9,0,0,236697.722730505,"numbers","imultinom(size=200)"
"agecomp","survey1",9,9,0,0,120621.969070033,"numbers","imultinom(size=200)"
"agecomp","survey1",10,9,0,0,96295.0213489899,"numbers","imultinom(size=200)"
"agecomp","survey1",11,9,0,0,77495.5899414597,"numbers","imultinom(size=200)"
"agecomp","survey1",12,9,0,0,331004.028387815,"numbers","imultinom(size=200)"
"agecomp","survey1",1,10,0,0,322006.689975334,"numbers","imultinom(size=200)"
"agecomp","survey1",2,10,0,0,526964.631868712,"numbers","imultinom(size=200)"
"agecomp","survey1",3,10,0,0,766710.923360385,"numbers","imultinom(size=200)"
"agecomp","survey1",4,10,0,0,411858.235190947,"numbers","imultinom(size=200)"
"agecomp","survey1",5,10,0,0,545540.263117511,"numbers","imultinom(size=200)"
"agecomp","survey1",6,10,0,0,473073.626445834,"numbers","imultinom(size=200)"
"agecomp","survey1",7,10,0,0,121651.574889772,"numbers","imultinom(size=200)"
"agecomp","survey1",8,10,0,0,126189.032289545,"numbers","imultinom(size=200)"
